"date";"n"
"2022-06-19";5
"2022-06-22";4
"2022-06-23";22
"2022-06-25";6
"2022-07-06";1
"2022-07-11";1
"2022-07-12";14
"2022-07-16";23
"2022-07-21";9
"2022-08-03";3
"2022-08-08";1
"2022-08-10";1
"2022-08-13";11
"2022-08-21";7
"2022-08-30";1
"2022-09-01";2
"2022-09-04";4
"2022-09-05";4
"2022-09-10";1
"2022-09-18";13
"2022-10-17";1
"2022-10-23";14
"2022-10-26";6
"2022-12-14";21
"2022-12-22";1
"2023-06-27";2
"2024-08-29";1
"2024-08-31";1
"2024-09-01";1
"2025-02-23";1
"2025-02-25";1
"2025-03-04";6
"2025-03-05";3
